Date,Open,High,Low,Close,Adj Close,Volume
2/1/2008,2392.580078,2419.22998,2252.649902,2271.47998,2271.47998,45767570000
3/1/2008,2271.26001,2346.780029,2155.419922,2279.100098,2279.100098,44966440000
4/1/2008,2306.51001,2451.189941,2266.290039,2412.800049,2412.800049,42726250000
5/1/2008,2416.48999,2551.469971,2416.48999,2522.659912,2522.659912,42783110000
6/1/2008,2514.820068,2549.939941,2290.590088,2292.97998,2292.97998,45968100000
7/1/2008,2274.23999,2353.389893,2167.290039,2325.550049,2325.550049,50672460000
8/1/2008,2326.830078,2473.199951,2280.929932,2367.52002,2367.52002,39482890000
9/1/2008,2402.110107,2413.110107,1983.72998,2091.879883,2091.879883,51722940000
10/1/2008,2075.100098,2083.199951,1493.790039,1720.949951,1720.949951,62537120000
11/1/2008,1718.890015,1785.839966,1295.47998,1535.569946,1535.569946,41933210000
12/1/2008,1496.089966,1602.920044,1398.069946,1577.030029,1577.030029,39619890000
1/1/2009,1578.869995,1665.630005,1434.079956,1476.420044,1476.420044,39995600000
2/1/2009,1460.849976,1598.5,1372.420044,1377.839966,1377.839966,42380620000
3/1/2009,1356.130005,1587,1265.52002,1528.589966,1528.589966,49480930000
4/1/2009,1504.869995,1753.609985,1498.540039,1717.300049,1717.300049,48683640000
5/1/2009,1719.290039,1774.329956,1664.189941,1774.329956,1774.329956,47352030000
6/1/2009,1796.089966,1879.920044,1753.780029,1835.040039,1835.040039,51881250000
7/1/2009,1846.119995,2009.810059,1727.050049,1978.5,1978.5,47084360000
8/1/2009,1998.349976,2059.47998,1929.640015,2009.060059,2009.060059,44011670000
9/1/2009,2001.300049,2167.699951,1958.040039,2122.419922,2122.419922,49652910000
10/1/2009,2111.77002,2190.639893,2040.209961,2045.109985,2045.109985,50489640000
11/1/2009,2047.420044,2205.320068,2024.27002,2144.600098,2144.600098,38877300000
12/1/2009,2162.22998,2295.800049,2155.959961,2269.149902,2269.149902,39269070000
1/1/2010,2294.409912,2326.280029,2140.340088,2147.350098,2147.350098,45625830000
2/1/2010,2155.810059,2251.679932,2100.169922,2238.26001,2238.26001,42835360000
3/1/2010,2247.399902,2432.25,2247.330078,2397.959961,2397.959961,54955550000
4/1/2010,2411.679932,2535.280029,2383.77002,2461.189941,2461.189941,54528540000
5/1/2010,2472.320068,2503,2140.530029,2257.040039,2257.040039,57203120000
6/1/2010,2244.790039,2341.110107,2105.26001,2109.23999,2109.23999,48633730000
7/1/2010,2110.75,2307.600098,2061.139893,2254.699951,2254.699951,43910370000
8/1/2010,2283.320068,2309.429932,2099.290039,2114.030029,2114.030029,41794240000
9/1/2010,2142.75,2400.060059,2141.949951,2368.620117,2368.620117,41586870000
10/1/2010,2386.820068,2517.5,2332.459961,2507.409912,2507.409912,41539760000
11/1/2010,2520.449951,2592.939941,2459.790039,2498.22998,2498.22998,40893560000
12/1/2010,2535.189941,2675.26001,2535.189941,2652.870117,2652.870117,36306890000
1/1/2011,2676.649902,2766.169922,2663.639893,2700.080078,2700.080078,40221760000
2/1/2011,2717.610107,2840.51001,2705.540039,2782.27002,2782.27002,39225340000
3/1/2011,2791.080078,2802.320068,2603.5,2781.070068,2781.070068,45049990000
4/1/2011,2796.669922,2876.830078,2706.5,2873.540039,2873.540039,38024600000
5/1/2011,2881.280029,2887.75,2739.850098,2835.300049,2835.300049,42067110000
6/1/2011,2829.389893,2834.050049,2599.860107,2773.52002,2773.52002,42570710000
7/1/2011,2775.080078,2878.939941,2724.98999,2756.379883,2756.379883,37282980000
8/1/2011,2791.449951,2796.23999,2331.649902,2579.459961,2579.459961,56977870000
9/1/2011,2583.340088,2643.370117,2414.310059,2415.399902,2415.399902,42996470000
10/1/2011,2401.189941,2753.370117,2298.889893,2684.409912,2684.409912,42787830000
