RegionID,SizeRank,RegionName,RegionType,City,StateName,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,Change Over Time
394931,89,"Ogden, UT",Msa,Ogden,UT,1693,1573,1494,1585,1747,2017,2209,2330,2459,2565,2665,2582,2367,2170,2062,2152,2254,2455,2634,2769,2844,2888,2892,2732,2421,2110,1899,1983,2091,2264,2214,2117,1937,1755,62
394528,90,"Daytona Beach, FL",Msa,Daytona Beach,FL,4159,4201,4258,4458,4610,4734,4794,4811,4836,4799,4808,4813,4782,4851,4945,5197,5203,5157,5076,5081,5076,5026,5022,5015,4900,4876,4903,5054,4918,4839,4617,4445,4106,3844,-315
394531,91,"Des Moines, IA",Msa,Des Moines,IA,3285,3121,3076,3362,3505,3685,3698,3809,3878,3880,3890,3785,3570,3348,3166,3205,3345,3583,3733,3822,3901,3969,3986,3889,3655,3393,3223,3289,3341,3434,3329,3238,3033,2868,-417
394711,92,"Jackson, MS",Msa,Jackson,MS,2498,2434,2438,2564,2710,2887,2959,2965,2890,2782,2711,2616,2488,2364,2318,2430,2522,2605,2630,2642,2614,2556,2505,2455,2378,2307,2258,2290,2268,2260,2166,2098,1970,1846,-652
394352,94,"Augusta, GA",Msa,Augusta,GA,3443,3311,3236,3308,3393,3490,3517,3524,3501,3446,3379,3289,3179,3118,3105,3193,3238,3325,3430,3544,3594,3593,3542,3388,3181,3046,3052,3091,2983,2839,2619,2533,2393,2294,-1149
394666,96,"Harrisburg, PA",Msa,Harrisburg,PA,2532,2379,2189,2235,2362,2525,2620,2657,2671,2624,2573,2444,2264,2059,1915,1927,2037,2226,2385,2463,2479,2467,2457,2384,2224,2051,1906,1823,1635,1621,1681,1825,1795,1661,-871
395006,100,"Provo, UT",Msa,Provo,UT,1512,1388,1301,1359,1533,1886,2199,2423,2513,2532,2597,2620,2569,2457,2374,2483,2624,2855,3017,3123,3183,3130,3073,2889,2640,2392,2214,2293,2433,2683,2691,2556,2248,1978,466
394549,104,"Durham, NC",Msa,Durham,NC,1766,1595,1533,1681,1865,2051,2105,2132,2135,2100,2099,2023,1907,1772,1702,1804,1979,2221,2369,2400,2379,2347,2368,2288,2144,1972,1890,1931,1924,1967,1933,1930,1844,1751,-15
394995,119,"Port St. Lucie, FL",Msa,Port St. Lucie,FL,3398,3461,3559,3733,3796,3793,3696,3569,3476,3430,3485,3569,3639,3790,3986,4271,4373,4383,4310,4245,4135,3985,3895,3863,3858,3948,4100,4284,4171,4007,3801,3659,3445,3258,-140
395183,124,"Vallejo, CA",Msa,Vallejo,CA,779,721,706,776,862,972,1065,1134,1182,1206,1226,1176,1077,978,941,973,1033,1130,1200,1256,1239,1213,1147,1060,938,827,776,816,826,874,864,862,797,741,-38
394746,128,"Killeen, TX",Msa,Killeen,TX,2056,2012,1953,2016,2084,2159,2194,2197,2202,2164,2120,2080,1985,1915,1838,1895,1958,2016,2055,2084,2145,2115,2080,1989,1923,1874,1895,1978,1968,1957,1831,1736,,,-2056
395048,132,"Salem, OR",Msa,Salem,OR,1514,1339,1269,1340,1483,1682,1822,1938,2016,2062,2071,1983,1837,1729,1654,1713,1807,2011,2216,2339,2384,2332,2243,2095,1892,1721,1626,1665,1697,1745,1746,1804,1810,1744,230
394927,149,"Ocala, FL",Msa,Ocala,FL,2962,2976,3000,3102,3114,3095,3033,2977,2950,2934,2981,3005,3010,3071,3145,3311,3399,3481,3354,3192,3011,2947,2918,2866,2816,2807,2845,2867,2736,2621,2491,2393,2226,2094,-868
394602,159,"Fort Collins, CO",Msa,Fort Collins,CO,1611,1374,1263,1337,1512,1738,1904,2050,2122,2120,2119,2069,1932,1732,1589,1644,1817,2088,2178,2183,2091,2093,2030,1884,1676,1544,1456,1489,1488,1657,1795,1933,1886,1847,236
394405,162,"Boulder, CO",Msa,Boulder,CO,988,814,745,811,956,1133,1267,1324,1326,1299,1269,1184,1041,918,904,1011,1192,1417,1529,1549,1478,1449,1408,1283,1102,952,884,915,930,1046,1158,1253,1214,1150,162
394471,172,"Clarksville, TN",Msa,Clarksville,TN,1984,1913,1882,1933,2028,2123,2188,2225,2264,2229,2190,2097,2009,1952,1919,1940,1936,1992,2070,2173,2206,2182,2116,2047,1963,1917,1930,2027,2076,2140,2093,2062,1975,1918,-66
394645,177,"Greeley, CO",Msa,Greeley,CO,1452,1325,1259,1383,1558,1698,1740,1724,1736,1745,1765,1724,1602,1499,1474,1612,1771,1964,1975,1940,1883,1883,1839,1671,1475,1336,1243,1293,1309,1477,1552,1624,1558,1486,34
