RegionID,Stock_Market,Mortgage_Rate,Monthly_Supply_Of_Homes,Median_Price_Range
394309,2271.47998,6.24,9.7,100k - 125k
394742,2271.47998,6.24,9.7,175k - 200k
395091,2271.47998,6.24,9.7,75k - 100k
395230,2271.47998,6.24,9.7,75k - 100k
753899,2279.100098,5.85,10.5,450k - 500k
394463,2279.100098,5.85,10.5,225k - 250k
394514,2279.100098,5.85,10.5,150k - 175k
394974,2279.100098,5.85,10.5,200k - 225k
394692,2279.100098,5.85,10.5,150k - 175k
395209,2279.100098,5.85,10.5,350k - 400k
394856,2279.100098,5.85,10.5,250k - 275k
394347,2279.100098,5.85,10.5,175k - 200k
394404,2279.100098,5.85,10.5,300k - 350k
395057,2279.100098,5.85,10.5,550k - 600k
394532,2279.100098,5.85,10.5,125k - 150k
395025,2279.100098,5.85,10.5,300k - 350k
394976,2279.100098,5.85,10.5,200k - 225k
395078,2279.100098,5.85,10.5,300k - 350k
394865,2279.100098,5.85,10.5,200k - 225k
395056,2279.100098,5.85,10.5,400k - 450
395121,2279.100098,5.85,10.5,150k - 175k
395148,2279.100098,5.85,10.5,175k - 200k
394358,2279.100098,5.85,10.5,250k - 275k
394530,2279.100098,5.85,10.5,225k - 250k
394982,2279.100098,5.85,10.5,125k - 150k
394998,2279.100098,5.85,10.5,275k - 300k
394458,2279.100098,5.85,10.5,175k - 200k
395045,2279.100098,5.85,10.5,300k - 350k
395055,2279.100098,5.85,10.5,125k - 150k
394943,2279.100098,5.85,10.5,200k - 225k
394466,2279.100098,5.85,10.5,125k - 150k
394475,2279.100098,5.85,10.5,125k - 150k
394735,2279.100098,5.85,10.5,150k - 175k
394775,2279.100098,5.85,10.5,250k - 275k
394492,2279.100098,5.85,10.5,150k - 175k
394705,2279.100098,5.85,10.5,100k - 125k
395059,2279.100098,5.85,10.5,650k - 700k
394355,2279.100098,5.85,10.5,175k - 200k
395194,2279.100098,5.85,10.5,200k - 225k
394902,2279.100098,5.85,10.5,150k - 175k
395005,2279.100098,5.85,10.5,225k - 250k
394862,2279.100098,5.85,10.5,175k - 200k
394714,2279.100098,5.85,10.5,175k - 200k
394849,2279.100098,5.85,10.5,125k - 150k
394935,2279.100098,5.85,10.5,100k - 125k
394807,2279.100098,5.85,10.5,125k - 150k
394669,2279.100098,5.85,10.5,225k - 250k
395022,2279.100098,5.85,10.5,200k - 225k
394910,2279.100098,5.85,10.5,150k - 175k
394425,2279.100098,5.85,10.5,100k - 125k
395012,2279.100098,5.85,10.5,200k - 225k
394388,2279.100098,5.85,10.5,150k - 175k
395053,2279.100098,5.85,10.5,200k - 225k
395031,2279.100098,5.85,10.5,100k - 125k
